Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,69.0,64.1,160183,148820,11363,7.1
1976,Feb,68.4,63.6,160022,148718,11304,7.1
1976,Mar,67.8,63.1,160124,148935,11189,7.0
1976,Apr,67.9,63.2,161033,149867,11166,6.9
1976,May,67.9,63.2,162338,151056,11282,6.9
1976,Jun,68.3,63.5,163908,152324,11584,7.1
1976,Jul,68.3,63.3,165368,153282,12086,7.3
1976,Aug,68.5,63.3,166416,153715,12701,7.6
1976,Sep,68.8,63.3,167180,153851,13329,8.0
1976,Oct,68.8,63.1,167790,153868,13922,8.3
1976,Nov,69.0,63.0,168258,153794,14464,8.6
1976,Dec,68.9,62.8,168729,153764,14965,8.9
1977,Jan,69.1,62.8,169309,153861,15448,9.1
1977,Feb,69.1,62.7,170059,154151,15908,9.4
1977,Mar,69.5,62.8,170890,154549,16341,9.6
1977,Apr,69.5,62.7,171666,154963,16703,9.7
1977,May,69.8,62.9,172323,155348,16975,9.9
1977,Jun,69.7,62.8,172866,155694,17172,9.9
1977,Jul,69.9,63.0,173415,156153,17262,10.0
1977,Aug,69.9,63.0,174145,156805,17340,10.0
1977,Sep,70.3,63.3,175120,157589,17531,10.0
1977,Oct,70.5,63.3,176221,158336,17885,10.1
1977,Nov,70.7,63.3,177332,158943,18389,10.4
1977,Dec,71.0,63.5,178335,159372,18963,10.6
1978,Jan,71.1,63.4,179245,159746,19499,10.9
1978,Feb,71.2,63.3,180057,160171,19886,11.0
1978,Mar,71.4,63.5,180709,160654,20055,11.1
1978,Apr,71.3,63.5,181209,161171,20038,11.1
1978,May,71.2,63.4,181554,161664,19890,11.0
1978,Jun,71.3,63.6,181747,162101,19646,10.8
1978,Jul,71.1,63.5,181963,162538,19425,10.7
1978,Aug,71.2,63.7,182268,163024,19244,10.6
1978,Sep,71.4,63.9,182680,163653,19027,10.4
1978,Oct,71.6,64.3,183262,164489,18773,10.2
1978,Nov,71.6,64.4,183977,165514,18463,10.0
1978,Dec,71.8,64.8,184591,166480,18111,9.8
1979,Jan,72.0,65.1,184941,167216,17725,9.6
1979,Feb,72.0,65.2,184966,167620,17346,9.4
1979,Mar,71.9,65.3,184735,167740,16995,9.2
1979,Apr,71.7,65.3,184383,167695,16688,9.1
1979,May,71.4,65.0,184094,167613,16481,9.0
1979,Jun,71.3,65.0,183993,167575,16418,8.9
1979,Jul,71.4,65.0,184087,167608,16479,9.0
1979,Aug,71.4,65.0,184312,167730,16582,9.0
1979,Sep,71.3,64.9,184641,167987,16654,9.0
1979,Oct,71.4,65.0,184969,168402,16567,9.0
1979,Nov,71.3,65.0,185332,168958,16374,8.8
1979,Dec,71.5,65.2,185810,169583,16227,8.7
1980,Jan,71.4,65.2,186379,170123,16256,8.7
1980,Feb,71.7,65.3,187064,170512,16552,8.8
1980,Mar,71.7,65.2,187884,170754,17130,9.1
1980,Apr,72.0,65.2,188693,170820,17873,9.5
1980,May,72.0,64.9,189352,170781,18571,9.8
1980,Jun,72.2,64.9,189815,170757,19058,10.0
1980,Jul,71.9,64.7,189938,170731,19207,10.1
1980,Aug,71.6,64.4,189828,170768,19060,10.0
1980,Sep,71.3,64.3,189664,170910,18754,9.9
1980,Oct,71.3,64.4,189613,171186,18427,9.7
1980,Nov,71.1,64.3,189777,171682,18095,9.5
1980,Dec,71.0,64.4,190229,172520,17709,9.3
1981,Jan,71.0,64.6,190991,173651,17340,9.1
1981,Feb,71.4,65.0,191959,174915,17044,8.9
1981,Mar,71.5,65.2,192992,176114,16878,8.7
1981,Apr,71.6,65.4,194082,177186,16896,8.7
1981,May,71.8,65.5,195256,178121,17135,8.8
1981,Jun,72.3,65.8,196600,179044,17556,8.9
1981,Jul,72.6,66.0,198164,180052,18112,9.1
1981,Aug,72.7,65.9,199895,181194,18701,9.4
1981,Sep,73.0,66.1,201610,182413,19197,9.5
1981,Oct,73.1,66.1,203206,183641,19565,9.6
1981,Nov,73.3,66.2,204485,184652,19833,9.7
1981,Dec,73.1,66.0,205430,185377,20053,9.8
1982,Jan,73.1,65.9,206145,185922,20223,9.8
1982,Feb,72.8,65.7,206871,186494,20377,9.9
1982,Mar,72.7,65.5,207852,187312,20540,9.9
1982,Apr,72.9,65.7,209206,188499,20707,9.9
1982,May,72.9,65.7,210822,189961,20861,9.9
1982,Jun,73.3,66.0,212495,191484,21011,9.9
1982,Jul,73.3,66.1,214150,192953,21197,9.9
1982,Aug,73.1,65.8,215712,194237,21475,10.0
1982,Sep,73.1,65.7,217181,195276,21905,10.1
1982,Oct,72.9,65.4,218601,196135,22466,10.3
1982,Nov,72.9,65.2,220086,197024,23062,10.5
1982,Dec,72.7,64.9,221621,198061,23560,10.6
1983,Jan,72.7,64.9,223161,199315,23846,10.7
1983,Feb,72.5,64.8,224658,200818,23840,10.6
1983,Mar,72.2,64.7,226092,202511,23581,10.4
1983,Apr,72.2,64.8,227478,204255,23223,10.2
1983,May,72.0,64.8,228906,205993,22913,10.0
1983,Jun,72.0,64.9,230378,207646,22732,9.9
