Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,59.5,53.4,964120,865871,98249,10.2
1976,Feb,59.2,53.2,963394,865215,98179,10.2
1976,Mar,59.1,53.1,963556,865905,97651,10.1
1976,Apr,59.1,53.2,966567,870141,96426,10.0
1976,May,59.1,53.3,971080,875687,95393,9.8
1976,Jun,59.3,53.5,976461,881602,94859,9.7
1976,Jul,59.4,53.7,981975,887162,94813,9.7
1976,Aug,59.6,53.8,987541,892485,95056,9.6
1976,Sep,59.7,54.0,993413,898289,95124,9.6
1976,Oct,59.8,54.1,999463,904453,95010,9.5
1976,Nov,59.9,54.3,1005364,910597,94767,9.4
1976,Dec,60.0,54.4,1010968,916504,94464,9.3
1977,Jan,60.2,54.6,1016746,922388,94358,9.3
1977,Feb,60.3,54.7,1022718,928545,94173,9.2
1977,Mar,60.4,54.9,1028518,934873,93645,9.1
1977,Apr,60.5,55.1,1034436,941652,92784,9.0
1977,May,60.6,55.3,1040390,948785,91605,8.8
1977,Jun,60.7,55.5,1045877,955723,90154,8.6
1977,Jul,60.8,55.6,1050508,961989,88519,8.4
1977,Aug,60.7,55.7,1053908,967428,86480,8.2
1977,Sep,60.6,55.8,1056149,972116,84033,8.0
1977,Oct,60.4,55.8,1056975,975843,81132,7.7
1977,Nov,60.2,55.7,1056804,978885,77919,7.4
1977,Dec,59.9,55.7,1056575,981858,74717,7.1
1978,Jan,59.7,55.7,1056990,985414,71576,6.8
1978,Feb,59.6,55.7,1058641,989740,68901,6.5
1978,Mar,59.6,55.8,1061837,995104,66733,6.3
1978,Apr,59.6,55.9,1066144,1001458,64686,6.1
1978,May,59.6,56.1,1071375,1008536,62839,5.9
1978,Jun,59.8,56.4,1077443,1016059,61384,5.7
1978,Jul,59.9,56.5,1083840,1023252,60588,5.6
1978,Aug,59.9,56.6,1090443,1029612,60831,5.6
1978,Sep,60.1,56.7,1097675,1035679,61996,5.6
1978,Oct,60.3,56.8,1106431,1042817,63614,5.7
1978,Nov,60.5,57.0,1116473,1051380,65093,5.8
1978,Dec,60.8,57.2,1126093,1060283,65810,5.8
1979,Jan,60.9,57.4,1133847,1068338,65509,5.8
1979,Feb,60.9,57.5,1138850,1074943,63907,5.6
1979,Mar,60.7,57.5,1141140,1079814,61326,5.4
1979,Apr,60.5,57.4,1141757,1083109,58648,5.1
1979,May,60.2,57.2,1142299,1085926,56373,4.9
1979,Jun,60.1,57.2,1144131,1089245,54886,4.8
1979,Jul,60.0,57.2,1148329,1094122,54207,4.7
1979,Aug,60.1,57.3,1155250,1100860,54390,4.7
1979,Sep,60.3,57.5,1164057,1108628,55429,4.8
