Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,62.6,56.8,9774280,8875685,898595,9.2
1976,Feb,62.4,56.7,9768885,8871553,897332,9.2
1976,Mar,62.2,56.6,9768531,8875700,892831,9.1
1976,Apr,62.2,56.6,9789023,8902662,886361,9.1
1976,May,62.3,56.7,9821255,8938559,882696,9.0
1976,Jun,62.4,56.8,9861887,8977255,884632,9.0
1976,Jul,62.5,56.9,9903604,9010377,893227,9.0
1976,Aug,62.6,56.9,9943383,9037097,906286,9.1
1976,Sep,62.7,56.9,9982133,9062648,919485,9.2
1976,Oct,62.8,57.0,10020044,9089492,930552,9.3
1976,Nov,62.9,57.0,10057937,9120389,937548,9.3
1976,Dec,63.0,57.1,10096320,9157978,938342,9.3
1977,Jan,63.1,57.3,10137699,9204162,933537,9.2
1977,Feb,63.2,57.5,10181250,9257576,923674,9.1
1977,Mar,63.3,57.7,10224344,9314250,910094,8.9
1977,Apr,63.5,57.9,10266363,9370903,895460,8.7
1977,May,63.6,58.1,10307069,9425458,881611,8.6
1977,Jun,63.7,58.3,10347934,9478129,869805,8.4
1977,Jul,63.8,58.5,10390933,9531197,859736,8.3
1977,Aug,63.9,58.7,10437515,9586963,850552,8.1
1977,Sep,64.0,58.9,10486367,9645317,841050,8.0
1977,Oct,64.2,59.1,10534456,9703565,830891,7.9
1977,Nov,64.3,59.3,10581258,9759799,821459,7.8
1977,Dec,64.4,59.5,10627337,9812886,814451,7.7
1978,Jan,64.5,59.6,10673813,9864666,809147,7.6
1978,Feb,64.7,59.8,10722565,9916934,805631,7.5
1978,Mar,64.8,60.0,10773803,9969880,803923,7.5
1978,Apr,65.0,60.1,10825396,10023312,802084,7.4
1978,May,65.1,60.3,10875201,10076881,798320,7.3
1978,Jun,65.2,60.5,10918582,10128069,790513,7.2
1978,Jul,65.2,60.6,10953156,10173539,779617,7.1
1978,Aug,65.3,60.7,10981764,10213361,768403,7.0
1978,Sep,65.3,60.8,11009558,10251598,757960,6.9
1978,Oct,65.3,60.9,11041537,10292800,748737,6.8
1978,Nov,65.4,61.0,11077465,10336820,740645,6.7
1978,Dec,65.5,61.2,11112366,10378926,733440,6.6
