Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,67.2,63.3,1230966,1160104,70862,5.8
1976,Feb,67.0,63.1,1230680,1160001,70679,5.7
1976,Mar,66.8,63.0,1229907,1159916,69991,5.7
1976,Apr,66.6,62.8,1229301,1160052,69249,5.6
1976,May,66.5,62.7,1229470,1160471,68999,5.6
1976,Jun,66.4,62.6,1231223,1161704,69519,5.6
1976,Jul,66.4,62.6,1234684,1163541,71143,5.8
1976,Aug,66.5,62.5,1239866,1166313,73553,5.9
1976,Sep,66.6,62.6,1246348,1170214,76134,6.1
1976,Oct,66.8,62.6,1253820,1175284,78536,6.3
1976,Nov,67.1,62.8,1261349,1180591,80758,6.4
1976,Dec,67.2,62.8,1267965,1185243,82722,6.5
1977,Jan,67.3,62.9,1273628,1189423,84205,6.6
1977,Feb,67.4,62.9,1278608,1193757,84851,6.6
1977,Mar,67.4,62.9,1282540,1198006,84534,6.6
1977,Apr,67.3,63.0,1285532,1202099,83433,6.5
1977,May,67.3,63.0,1287908,1205911,81997,6.4
1977,Jun,67.2,63.0,1290471,1209567,80904,6.3
1977,Jul,67.2,63.0,1293655,1213549,80106,6.2
1977,Aug,67.2,63.0,1297942,1217890,80052,6.2
1977,Sep,67.2,63.1,1303046,1222319,80727,6.2
1977,Oct,67.3,63.1,1308068,1226587,81481,6.2
1977,Nov,67.3,63.1,1313067,1231098,81969,6.2
1977,Dec,67.4,63.2,1318028,1236006,82022,6.2
1978,Jan,67.5,63.3,1323160,1241466,81694,6.2
1978,Feb,67.5,63.4,1328600,1247521,81079,6.1
1978,Mar,67.6,63.6,1334471,1254233,80238,6.0
1978,Apr,67.7,63.7,1340464,1261301,79163,5.9
1978,May,67.8,63.9,1346240,1268450,77790,5.8
1978,Jun,67.9,64.1,1351735,1275809,75926,5.6
1978,Jul,67.9,64.2,1356935,1282962,73973,5.5
1978,Aug,68.0,64.4,1361997,1289908,72089,5.3
1978,Sep,68.0,64.5,1367630,1297179,70451,5.2
1978,Oct,68.1,64.7,1374559,1305034,69525,5.1
1978,Nov,68.3,64.9,1382262,1313141,69121,5.0
1978,Dec,68.5,65.1,1389775,1320821,68954,5.0
1979,Jan,68.6,65.2,1396518,1327993,68525,4.9
1979,Feb,68.7,65.3,1402575,1335042,67533,4.8
1979,Mar,68.7,65.5,1408652,1342410,66242,4.7
1979,Apr,68.8,65.7,1415391,1350293,65098,4.6
1979,May,69.0,65.9,1423372,1358892,64480,4.5
1979,Jun,69.2,66.1,1432078,1367375,64703,4.5
1979,Jul,69.4,66.3,1440989,1375366,65623,4.6
1979,Aug,69.7,66.5,1449487,1382640,66847,4.6
1979,Sep,69.9,66.6,1456840,1388977,67863,4.7
