Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,56.8,53.2,1517348,1421440,95908,6.3
1976,Feb,56.6,53.1,1516595,1421064,95531,6.3
1976,Mar,56.5,52.9,1516489,1420882,95607,6.3
1976,Apr,56.4,52.8,1519054,1422019,97035,6.4
1976,May,56.4,52.8,1523344,1424086,99258,6.5
1976,Jun,56.5,52.8,1528892,1427096,101796,6.7
1976,Jul,56.6,52.7,1534267,1430273,103994,6.8
1976,Aug,56.6,52.7,1538687,1433303,105384,6.8
1976,Sep,56.6,52.7,1542014,1436017,105997,6.9
1976,Oct,56.6,52.7,1544486,1438250,106236,6.9
1976,Nov,56.6,52.7,1546793,1440358,106435,6.9
1976,Dec,56.6,52.7,1549828,1443275,106553,6.9
1977,Jan,56.6,52.8,1554869,1448136,106733,6.9
1977,Feb,56.8,52.9,1562347,1455407,106940,6.8
1977,Mar,57.0,53.1,1571507,1464623,106884,6.8
1977,Apr,57.3,53.4,1581436,1474786,106650,6.7
1977,May,57.5,53.6,1591139,1484511,106628,6.7
1977,Jun,57.7,53.8,1599923,1492891,107032,6.7
1977,Jul,57.9,54.0,1607658,1499479,108179,6.7
1977,Aug,58.0,54.0,1615027,1504683,110344,6.8
1977,Sep,58.2,54.1,1622764,1509317,113447,7.0
1977,Oct,58.4,54.2,1631159,1514052,117107,7.2
1977,Nov,58.6,54.3,1640001,1519251,120750,7.4
1977,Dec,58.8,54.4,1648535,1524704,123831,7.5
1978,Jan,59.0,54.5,1655767,1530108,125659,7.6
1978,Feb,59.0,54.6,1661051,1535121,125930,7.6
1978,Mar,59.1,54.6,1664387,1539828,124559,7.5
1978,Apr,59.0,54.7,1666219,1544372,121847,7.3
1978,May,59.0,54.8,1667218,1548841,118377,7.1
1978,Jun,58.9,54.8,1667912,1553153,114759,6.9
1978,Jul,58.8,54.9,1668777,1557268,111509,6.7
1978,Aug,58.7,54.9,1669905,1561270,108635,6.5
1978,Sep,58.6,54.9,1671321,1565441,105880,6.3
1978,Oct,58.6,55.0,1673479,1570217,103262,6.2
1978,Nov,58.6,55.1,1676644,1575506,101138,6.0
1978,Dec,58.6,55.1,1680582,1580786,99796,5.9
1979,Jan,58.7,55.2,1685080,1585594,99486,5.9
1979,Feb,58.7,55.2,1690010,1589607,100403,5.9
1979,Mar,58.8,55.2,1695385,1592543,102842,6.1
1979,Apr,58.9,55.2,1701530,1594694,106836,6.3
1979,May,59.0,55.1,1708767,1597000,111767,6.5
1979,Jun,59.2,55.2,1717070,1600206,116864,6.8
1979,Jul,59.4,55.2,1726069,1604983,121086,7.0
1979,Aug,59.5,55.3,1735099,1611259,123840,7.1
1979,Sep,59.7,55.4,1743366,1618214,125152,7.2
1979,Oct,59.8,55.5,1749794,1624981,124813,7.1
1979,Nov,59.8,55.6,1753982,1630962,123020,7.0
1979,Dec,59.7,55.6,1756428,1635504,120924,6.9
1980,Jan,59.6,55.6,1757569,1638094,119475,6.8
1980,Feb,59.5,55.5,1758063,1639109,118954,6.8
1980,Mar,59.4,55.4,1758658,1639547,119111,6.8
1980,Apr,59.3,55.3,1759585,1640266,119319,6.8
1980,May,59.3,55.2,1761729,1641942,119787,6.8
1980,Jun,59.3,55.2,1765950,1645035,120915,6.8
1980,Jul,59.4,55.3,1772119,1649365,122754,6.9
1980,Aug,59.6,55.4,1779984,1654585,125399,7.0
1980,Sep,59.7,55.4,1789035,1660358,128677,7.2
1980,Oct,59.9,55.5,1798408,1665949,132459,7.4
1980,Nov,60.2,55.6,1807615,1671114,136501,7.6
1980,Dec,60.3,55.7,1816595,1676409,140186,7.7
1981,Jan,60.5,55.8,1825169,1681880,143289,7.9
1981,Feb,60.7,55.8,1832920,1686833,146087,8.0
1981,Mar,60.8,55.9,1839670,1690744,148926,8.1
1981,Apr,60.8,55.8,1844965,1693226,151739,8.2
1981,May,60.9,55.8,1848021,1694308,153713,8.3
1981,Jun,60.8,55.7,1849087,1694461,154626,8.4
1981,Jul,60.7,55.6,1849329,1694063,155266,8.4
1981,Aug,60.6,55.5,1849501,1693125,156376,8.5
1981,Sep,60.5,55.3,1850202,1691667,158535,8.6
1981,Oct,60.4,55.2,1852027,1690004,162023,8.7
1981,Nov,60.4,55.0,1854387,1688048,166339,9.0
1981,Dec,60.4,54.8,1856719,1685998,170721,9.2
1982,Jan,60.4,54.7,1859105,1684565,174540,9.4
1982,Feb,60.3,54.6,1861488,1684014,177474,9.5
1982,Mar,60.3,54.5,1863512,1684013,179499,9.6
1982,Apr,60.3,54.4,1865350,1684151,181199,9.7
1982,May,60.2,54.3,1866799,1683518,183281,9.8
1982,Jun,60.1,54.1,1867388,1681378,186010,10.0
1982,Jul,60.0,53.9,1867311,1677908,189403,10.1
1982,Aug,59.9,53.7,1867306,1673893,193413,10.4
1982,Sep,59.8,53.5,1868148,1670140,198008,10.6
1982,Oct,59.8,53.3,1870354,1667107,203247,10.9
1982,Nov,59.9,53.2,1874128,1665149,208979,11.2
1982,Dec,59.9,53.1,1878585,1663879,214706,11.4
1983,Jan,60.0,52.9,1883129,1662969,220160,11.7
1983,Feb,60.0,52.9,1888001,1663122,224879,11.9
1983,Mar,60.1,52.8,1893320,1664820,228500,12.1
1983,Apr,60.2,52.9,1899459,1668450,231009,12.2
1983,May,60.3,53.0,1906452,1674288,232164,12.2
1983,Jun,60.5,53.1,1913498,1682061,231437,12.1
1983,Jul,60.6,53.3,1919533,1691008,228525,11.9
1983,Aug,60.7,53.6,1923580,1699963,223617,11.6
1983,Sep,60.7,53.8,1925061,1707964,217097,11.3
1983,Oct,60.6,54.0,1924041,1714546,209495,10.9
1983,Nov,60.5,54.2,1921687,1719684,202003,10.5
1983,Dec,60.4,54.3,1919884,1723888,195996,10.2
1984,Jan,60.4,54.4,1919875,1728063,191812,10.0
1984,Feb,60.5,54.5,1921983,1732583,189400,9.9
1984,Mar,60.6,54.6,1926174,1737477,188697,9.8
1984,Apr,60.7,54.8,1931291,1742217,189074,9.8
1984,May,60.8,54.9,1936392,1745906,190486,9.8
1984,Jun,60.9,54.9,1940758,1747861,192897,9.9
1984,Jul,61.0,54.9,1943521,1747615,195906,10.1
1984,Aug,61.0,54.8,1944847,1745473,199374,10.3
1984,Sep,61.0,54.7,1945580,1742295,203285,10.4
1984,Oct,61.0,54.5,1946865,1739405,207460,10.7
1984,Nov,61.1,54.5,1949608,1738176,211432,10.8
1984,Dec,61.2,54.5,1953769,1739070,214699,11.0
1985,Jan,61.4,54.6,1958439,1741240,217199,11.1
1985,Feb,61.5,54.6,1962502,1743235,219267,11.2
1985,Mar,61.5,54.6,1965215,1744147,221068,11.2
1985,Apr,61.6,54.6,1966585,1743896,222689,11.3
1985,May,61.6,54.5,1967221,1743087,224134,11.4
1985,Jun,61.6,54.5,1967780,1742380,225400,11.5
1985,Jul,61.6,54.5,1969129,1742382,226747,11.5
1985,Aug,61.6,54.5,1971530,1743727,227803,11.6
1985,Sep,61.7,54.5,1974708,1746127,228581,11.6
1985,Oct,61.7,54.6,1978025,1748665,229360,11.6
1985,Nov,61.7,54.6,1980494,1750068,230426,11.6
1985,Dec,61.7,54.5,1981526,1749426,232100,11.7
1986,Jan,61.7,54.4,1981243,1746590,234653,11.8
1986,Feb,61.6,54.2,1980013,1742168,237845,12.0
1986,Mar,61.5,54.0,1977717,1736808,240909,12.2
1986,Apr,61.3,53.8,1974811,1731206,243605,12.3
1986,May,61.2,53.6,1972024,1726161,245863,12.5
1986,Jun,61.1,53.4,1970384,1722449,247935,12.6
1986,Jul,61.1,53.3,1970313,1720383,249930,12.7
1986,Aug,61.1,53.3,1971197,1719444,251753,12.8
1986,Sep,61.2,53.4,1972110,1719053,253057,12.8
1986,Oct,61.3,53.4,1972131,1718646,253485,12.9
1986,Nov,61.3,53.4,1970571,1717624,252947,12.8
1986,Dec,61.2,53.4,1967640,1716444,251196,12.8
1987,Jan,61.2,53.4,1963911,1715624,248287,12.6
1987,Feb,61.1,53.5,1960071,1715560,244511,12.5
1987,Mar,61.0,53.5,1957182,1716609,240573,12.3
1987,Apr,61.0,53.7,1955201,1718544,236657,12.1
1987,May,61.0,53.8,1953465,1720652,232813,11.9
1987,Jun,61.0,53.9,1951695,1722312,229383,11.8
1987,Jul,61.0,53.9,1949699,1723105,226594,11.6
1987,Aug,61.0,54.0,1947697,1723056,224641,11.5
1987,Sep,61.0,54.0,1946021,1722770,223251,11.5
1987,Oct,61.0,54.0,1944770,1722666,222104,11.4
1987,Nov,61.0,54.1,1943837,1723158,220679,11.4
1987,Dec,61.0,54.2,1942816,1723849,218967,11.3
1988,Jan,61.0,54.2,1941012,1724160,216852,11.2
1988,Feb,61.0,54.2,1938307,1723983,214324,11.1
1988,Mar,60.9,54.3,1934930,1723155,211775,10.9
1988,Apr,60.9,54.3,1931580,1721936,209644,10.9
1988,May,60.8,54.3,1928779,1720853,207926,10.8
1988,Jun,60.8,54.3,1926396,1720212,206184,10.7
1988,Jul,60.8,54.3,1924362,1720213,204149,10.6
1988,Aug,60.7,54.4,1922628,1720794,201834,10.5
1988,Sep,60.7,54.4,1920916,1721625,199291,10.4
1988,Oct,60.6,54.4,1918722,1722578,196144,10.2
1988,Nov,60.6,54.5,1916068,1723774,192294,10.0
1988,Dec,60.5,54.6,1913043,1725301,187742,9.8
1989,Jan,60.4,54.7,1910152,1727541,182611,9.6
1989,Feb,60.4,54.8,1907557,1730204,177353,9.3
1989,Mar,60.3,54.9,1904882,1733146,171736,9.0
1989,Apr,60.2,55.0,1901726,1736212,165514,8.7
1989,May,60.1,55.1,1897694,1738950,158744,8.4
1989,Jun,60.0,55.2,1892844,1741096,151748,8.0
1989,Jul,59.8,55.2,1887264,1742497,144767,7.7
1989,Aug,59.6,55.3,1881067,1743257,137810,7.3
1989,Sep,59.5,55.3,1874724,1743681,131043,7.0
1989,Oct,59.3,55.3,1869153,1744225,124928,6.7
1989,Nov,59.2,55.4,1864719,1744886,119833,6.4
1989,Dec,59.1,55.4,1861462,1745656,115806,6.2
1990,Jan,61.2,57.5,1859188,1746514,112674,6.1
1990,Feb,61.0,57.4,1857449,1747388,110061,5.9
1990,Mar,60.8,57.3,1856384,1748271,108113,5.8
1990,Apr,60.6,57.1,1856352,1748984,107368,5.8
1990,May,60.5,57.0,1857810,1749667,108143,5.8
1990,Jun,60.5,56.9,1860476,1750196,110280,5.9
1990,Jul,60.4,56.7,1864122,1750597,113525,6.1
1990,Aug,60.5,56.7,1868633,1751042,117591,6.3
1990,Sep,60.7,56.7,1873507,1751550,121957,6.5
1990,Oct,60.8,56.7,1878203,1752042,126161,6.7
1990,Nov,60.9,56.7,1882564,1752937,129627,6.9
1990,Dec,61.0,56.8,1886616,1754374,132242,7.0
1991,Jan,61.1,56.8,1890423,1755975,134448,7.1
1991,Feb,61.3,56.8,1894364,1757873,136491,7.2
1991,Mar,61.4,56.9,1898057,1759806,138251,7.3
1991,Apr,61.5,57.0,1900998,1761668,139330,7.3
1991,May,61.5,57.0,1903280,1763693,139587,7.3
1991,Jun,61.6,57.1,1905238,1766104,139134,7.3
1991,Jul,61.6,57.1,1906913,1768782,138131,7.2
1991,Aug,61.6,57.2,1908430,1771424,137006,7.2
1991,Sep,61.6,57.2,1910234,1773739,136495,7.1
1991,Oct,61.6,57.2,1912495,1775371,137124,7.2
1991,Nov,61.7,57.2,1915211,1776222,138989,7.3
1991,Dec,61.7,57.2,1918027,1776474,141553,7.4
1992,Jan,61.8,57.2,1920929,1776664,144265,7.5
1992,Feb,61.9,57.1,1924000,1777004,146996,7.6
1992,Mar,61.9,57.1,1927337,1777754,149583,7.8
1992,Apr,62.0,57.1,1930826,1778742,152084,7.9
1992,May,62.1,57.1,1933378,1779111,154267,8.0
1992,Jun,62.0,57.0,1934036,1778416,155620,8.0
1992,Jul,61.9,57.0,1932627,1776675,155952,8.1
1992,Aug,61.8,56.8,1929126,1773983,155143,8.0
1992,Sep,61.6,56.7,1923811,1770672,153139,8.0
1992,Oct,61.3,56.5,1917636,1767415,150221,7.8
1992,Nov,61.1,56.4,1911588,1764455,147133,7.7
1992,Dec,60.9,56.3,1906779,1762204,144575,7.6
1993,Jan,60.8,56.2,1903889,1761123,142766,7.5
1993,Feb,60.7,56.2,1902611,1761069,141542,7.4
1993,Mar,60.7,56.2,1902581,1761801,140780,7.4
1993,Apr,60.6,56.2,1902924,1762858,140066,7.4
1993,May,60.6,56.2,1903162,1763802,139360,7.3
1993,Jun,60.6,56.2,1903594,1764423,139171,7.3
1993,Jul,60.6,56.1,1904463,1764949,139514,7.3
1993,Aug,60.6,56.1,1906552,1766098,140454,7.4
1993,Sep,60.7,56.2,1910860,1768624,142236,7.4
1993,Oct,60.9,56.3,1917465,1772662,144803,7.6
1993,Nov,61.1,56.4,1925458,1777631,147827,7.7
1993,Dec,61.3,56.5,1933286,1782625,150661,7.8
1994,Jan,61.4,56.6,1939183,1786629,152554,7.9
1994,Feb,61.5,56.7,1942270,1789169,153101,7.9
1994,Mar,61.5,56.7,1943107,1790511,152596,7.9
1994,Apr,61.5,56.7,1943213,1791625,151588,7.8
1994,May,61.5,56.7,1944158,1793586,150572,7.7
1994,Jun,61.5,56.8,1946762,1796948,149814,7.7
1994,Jul,61.6,56.9,1951069,1801656,149413,7.7
1994,Aug,61.7,57.0,1956093,1807022,149071,7.6
1994,Sep,61.8,57.1,1960407,1812195,148212,7.6
1994,Oct,61.8,57.2,1963056,1816616,146440,7.5
1994,Nov,61.8,57.3,1964223,1820193,144030,7.3
1994,Dec,61.8,57.3,1964360,1822655,141705,7.2
1995,Jan,61.8,57.4,1963940,1823927,140013,7.1
1995,Feb,61.7,57.3,1963633,1824568,139065,7.1
1995,Mar,61.7,57.3,1963488,1824967,138521,7.1
1995,Apr,61.6,57.3,1963401,1825437,137964,7.0
1995,May,61.6,57.3,1963422,1826399,137023,7.0
1995,Jun,61.5,57.3,1963451,1828013,135438,6.9
1995,Jul,61.5,57.3,1963415,1829955,133460,6.8
1995,Aug,61.4,57.3,1963395,1831696,131699,6.7
1995,Sep,61.4,57.3,1963539,1832863,130676,6.7
1995,Oct,61.3,57.3,1964103,1833561,130542,6.6
1995,Nov,61.3,57.3,1965059,1834191,130868,6.7
1995,Dec,61.4,57.3,1966651,1835342,131309,6.7
1996,Jan,61.4,57.3,1969263,1837564,131699,6.7
1996,Feb,61.5,57.4,1972805,1840965,131840,6.7
1996,Mar,61.6,57.5,1976823,1845249,131574,6.7
1996,Apr,61.6,57.6,1980859,1850060,130799,6.6
1996,May,61.7,57.7,1984763,1855073,129690,6.5
1996,Jun,61.8,57.8,1988617,1860079,128538,6.5
1996,Jul,61.9,57.9,1992597,1865013,127584,6.4
1996,Aug,62.0,58.0,1996572,1869723,126849,6.4
1996,Sep,62.0,58.1,1999644,1873493,126151,6.3
1996,Oct,62.0,58.1,2001414,1875790,125624,6.3
1996,Nov,62.0,58.1,2001962,1876862,125100,6.2
1996,Dec,61.9,58.1,2001668,1877367,124301,6.2
1997,Jan,61.9,58.0,2001102,1877683,123419,6.2
1997,Feb,61.8,58.0,2000916,1878194,122722,6.1
1997,Mar,61.8,58.1,2001606,1879419,122187,6.1
1997,Apr,61.8,58.1,2003229,1881402,121827,6.1
1997,May,61.9,58.1,2005067,1883717,121350,6.1
1997,Jun,61.9,58.2,2006695,1886218,120477,6.0
1997,Jul,61.9,58.2,2008268,1889121,119147,5.9
1997,Aug,61.9,58.3,2010017,1892532,117485,5.8
1997,Sep,61.9,58.4,2011964,1896422,115542,5.7
1997,Oct,61.9,58.4,2013588,1900210,113378,5.6
1997,Nov,61.9,58.5,2014585,1903170,111415,5.5
1997,Dec,61.9,58.6,2015474,1905472,110002,5.5
1998,Jan,62.0,58.6,2016848,1907729,109119,5.4
1998,Feb,62.0,58.7,2019311,1910303,109008,5.4
1998,Mar,62.1,58.7,2023005,1913082,109923,5.4
1998,Apr,62.2,58.8,2027854,1916063,111791,5.5
1998,May,62.4,58.9,2033150,1919030,114120,5.6
1998,Jun,62.5,58.9,2037278,1921216,116062,5.7
1998,Jul,62.5,58.9,2038860,1921925,116935,5.7
1998,Aug,62.4,58.8,2037809,1921421,116388,5.7
1998,Sep,62.3,58.8,2035414,1920619,114795,5.6
1998,Oct,62.2,58.7,2032895,1920402,112493,5.5
1998,Nov,62.1,58.7,2030873,1920977,109896,5.4
1998,Dec,62.0,58.7,2029105,1921640,107465,5.3
1999,Jan,61.9,58.7,2027133,1921887,105246,5.2
1999,Feb,61.8,58.7,2024930,1921718,103212,5.1
1999,Mar,61.8,58.7,2022821,1921446,101375,5.0
1999,Apr,61.7,58.6,2021184,1921299,99885,4.9
1999,May,61.6,58.6,2020679,1921495,99184,4.9
1999,Jun,61.6,58.6,2022019,1922532,99487,4.9
1999,Jul,61.7,58.6,2024641,1924376,100265,5.0
1999,Aug,61.8,58.7,2027324,1926493,100831,5.0
1999,Sep,61.8,58.7,2029205,1928384,100821,5.0
1999,Oct,61.8,58.7,2030143,1929745,100398,4.9
1999,Nov,61.8,58.7,2030516,1930813,99703,4.9
1999,Dec,61.8,58.8,2030941,1931930,99011,4.9
2000,Jan,61.8,58.8,2031853,1932931,98922,4.9
2000,Feb,61.8,58.8,2032546,1933151,99395,4.9
2000,Mar,61.8,58.8,2032404,1932080,100324,4.9
2000,Apr,61.8,58.7,2030975,1929509,101466,5.0
2000,May,61.7,58.6,2028038,1925659,102379,5.0
2000,Jun,61.5,58.4,2024062,1920886,103176,5.1
2000,Jul,61.4,58.3,2020359,1916191,104168,5.2
2000,Aug,61.3,58.1,2018573,1913044,105529,5.2
2000,Sep,61.4,58.1,2019258,1912209,107049,5.3
2000,Oct,61.4,58.1,2022328,1913866,108462,5.4
2000,Nov,61.6,58.2,2026957,1917107,109850,5.4
2000,Dec,61.7,58.3,2031573,1920444,111129,5.5
2001,Jan,61.8,58.4,2034561,1922697,111864,5.5
2001,Feb,61.8,58.4,2035264,1923373,111891,5.5
2001,Mar,61.7,58.4,2033367,1922359,111008,5.5
2001,Apr,61.6,58.3,2029478,1920030,109448,5.4
2001,May,61.5,58.2,2025314,1917313,108001,5.3
2001,Jun,61.4,58.1,2022275,1914852,107423,5.3
2001,Jul,61.3,58.1,2021385,1912999,108386,5.4
2001,Aug,61.3,58.0,2022156,1911061,111095,5.5
2001,Sep,61.3,57.9,2023510,1908467,115043,5.7
2001,Oct,61.3,57.7,2024273,1905047,119226,5.9
