Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,60.8,55.5,481330,439744,41586,8.6
1976,Feb,60.5,55.3,481103,439486,41617,8.7
1976,Mar,60.3,55.1,481308,439624,41684,8.7
1976,Apr,60.3,55.1,482739,441037,41702,8.6
1976,May,60.3,55.1,484676,443026,41650,8.6
1976,Jun,60.3,55.2,487022,445278,41744,8.6
1976,Jul,60.4,55.2,489256,447267,41989,8.6
1976,Aug,60.4,55.2,491177,448792,42385,8.6
1976,Sep,60.5,55.2,493080,450077,43003,8.7
1976,Oct,60.5,55.2,495215,451379,43836,8.9
1976,Nov,60.7,55.2,497601,452921,44680,9.0
1976,Dec,60.8,55.3,500021,454863,45158,9.0
1977,Jan,60.9,55.4,502346,457333,45013,9.0
1977,Feb,60.9,55.6,504635,460311,44324,8.8
1977,Mar,61.1,55.8,506851,463479,43372,8.6
1977,Apr,61.1,56.0,508830,466544,42286,8.3
1977,May,61.1,56.2,510353,469244,41109,8.1
1977,Jun,61.0,56.3,511473,471568,39905,7.8
1977,Jul,61.0,56.4,512607,473724,38883,7.6
1977,Aug,61.0,56.5,513950,475953,37997,7.4
1977,Sep,61.0,56.6,515382,478359,37023,7.2
1977,Oct,61.0,56.8,516682,480850,35832,6.9
1977,Nov,61.0,56.9,517854,483363,34491,6.7
1977,Dec,61.0,57.1,519107,485758,33349,6.4
1978,Jan,61.0,57.1,520554,487990,32564,6.3
1978,Feb,61.0,57.3,522145,490061,32084,6.1
1978,Mar,61.1,57.4,523955,492089,31866,6.1
1978,Apr,61.2,57.5,526156,494191,31965,6.1
1978,May,61.3,57.5,528659,496363,32296,6.1
1978,Jun,61.4,57.6,531120,498481,32639,6.1
1978,Jul,61.5,57.7,533222,500334,32888,6.2
1978,Aug,61.5,57.7,534913,501870,33043,6.2
1978,Sep,61.5,57.7,536376,503145,33231,6.2
1978,Oct,61.5,57.6,537946,504344,33602,6.2
1978,Nov,61.5,57.6,539748,505526,34222,6.3
1978,Dec,61.5,57.6,541509,506585,34924,6.4
1979,Jan,61.6,57.5,543064,507529,35535,6.5
1979,Feb,61.5,57.5,544420,508483,35937,6.6
1979,Mar,61.5,57.4,545588,509509,36079,6.6
1979,Apr,61.4,57.4,546647,510580,36067,6.6
1979,May,61.4,57.4,547923,511835,36088,6.6
1979,Jun,61.4,57.4,549553,513285,36268,6.6
1979,Jul,61.5,57.4,551580,514984,36596,6.6
1979,Aug,61.6,57.5,553869,516799,37070,6.7
1979,Sep,61.6,57.5,556077,518496,37581,6.8
1979,Oct,61.7,57.5,557777,519923,37854,6.8
1979,Nov,61.7,57.5,558885,521017,37868,6.8
1979,Dec,61.6,57.5,559613,521743,37870,6.8
1980,Jan,61.5,57.3,560084,521904,38180,6.8
1980,Feb,61.4,57.1,560384,521447,38937,6.9
