Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,62.6,60.5,276793,267268,9525,3.4
1976,Feb,62.4,60.3,276615,267143,9472,3.4
1976,Mar,62.3,60.2,276633,267177,9456,3.4
1976,Apr,62.5,60.3,277360,267713,9647,3.5
1976,May,62.6,60.3,278481,268524,9957,3.6
1976,Jun,62.7,60.4,279841,269504,10337,3.7
1976,Jul,62.9,60.5,281143,270419,10724,3.8
1976,Aug,63.0,60.5,282200,271148,11052,3.9
1976,Sep,63.2,60.6,282985,271679,11306,4.0
1976,Oct,63.1,60.6,283528,272003,11525,4.1
1976,Nov,63.2,60.6,283975,272196,11779,4.1
1976,Dec,63.2,60.5,284456,272406,12050,4.2
1977,Jan,63.4,60.6,285094,272785,12309,4.3
1977,Feb,63.4,60.6,285882,273346,12536,4.4
1977,Mar,63.4,60.6,286647,273927,12720,4.4
1977,Apr,63.6,60.7,287302,274447,12855,4.5
1977,May,63.5,60.7,287861,274898,12963,4.5
1977,Jun,63.7,60.8,288371,275316,13055,4.5
1977,Jul,63.6,60.7,288884,275787,13097,4.5
1977,Aug,63.8,60.9,289510,276413,13097,4.5
1977,Sep,63.8,60.9,290287,277221,13066,4.5
1977,Oct,64.0,61.1,291055,278086,12969,4.5
1977,Nov,64.0,61.2,291687,278870,12817,4.4
1977,Dec,64.1,61.3,292125,279475,12650,4.3
1978,Jan,64.1,61.4,292435,279974,12461,4.3
1978,Feb,64.1,61.4,292761,280491,12270,4.2
1978,Mar,64.2,61.5,293232,281130,12102,4.1
1978,Apr,64.2,61.5,293831,281867,11964,4.1
1978,May,64.3,61.7,294459,282598,11861,4.0
1978,Jun,64.3,61.7,295016,283212,11804,4.0
1978,Jul,64.4,61.8,295488,283607,11881,4.0
1978,Aug,64.5,61.8,295886,283818,12068,4.1
1978,Sep,64.4,61.7,296262,283991,12271,4.1
1978,Oct,64.5,61.8,296823,284368,12455,4.2
1978,Nov,64.6,61.8,297591,284996,12595,4.2
1978,Dec,64.7,62.0,298426,285705,12721,4.3
1979,Jan,64.9,62.1,299146,286294,12852,4.3
1979,Feb,64.9,62.1,299626,286706,12920,4.3
1979,Mar,64.9,62.1,299888,286998,12890,4.3
1979,Apr,64.8,62.0,300025,287245,12780,4.3
1979,May,64.8,62.1,300168,287561,12607,4.2
1979,Jun,64.7,62.1,300371,287949,12422,4.1
1979,Jul,64.8,62.2,300658,288409,12249,4.1
1979,Aug,64.9,62.3,301006,288844,12162,4.0
1979,Sep,64.9,62.3,301351,289117,12234,4.1
1979,Oct,64.9,62.2,301560,289174,12386,4.1
1979,Nov,64.9,62.2,301630,289108,12522,4.2
1979,Dec,64.9,62.2,301632,289044,12588,4.2
1980,Jan,64.9,62.1,301609,288983,12626,4.2
1980,Feb,64.9,62.1,301642,288867,12775,4.2
1980,Mar,64.9,62.1,301806,288650,13156,4.4
1980,Apr,64.8,61.9,302118,288337,13781,4.6
1980,May,64.9,61.8,302550,287990,14560,4.8
1980,Jun,64.9,61.6,303106,287774,15332,5.1
1980,Jul,65.0,61.6,303679,287771,15908,5.2
1980,Aug,65.0,61.5,304218,288032,16186,5.3
1980,Sep,65.1,61.7,304754,288569,16185,5.3
1980,Oct,65.1,61.7,305282,289251,16031,5.3
1980,Nov,65.2,61.8,305875,290012,15863,5.2
1980,Dec,65.2,61.9,306654,290899,15755,5.1
1981,Jan,65.4,62.1,307560,291844,15716,5.1
1981,Feb,65.5,62.1,308371,292685,15686,5.1
1981,Mar,65.6,62.3,308942,293371,15571,5.0
1981,Apr,65.5,62.3,309209,293846,15363,5.0
1981,May,65.5,62.3,309235,294113,15122,4.9
1981,Jun,65.4,62.2,309205,294297,14908,4.8
1981,Jul,65.4,62.3,309320,294529,14791,4.8
1981,Aug,65.3,62.2,309637,294837,14800,4.8
1981,Sep,65.4,62.3,310105,295194,14911,4.8
1981,Oct,65.4,62.2,310663,295579,15084,4.9
1981,Nov,65.5,62.3,311116,295849,15267,4.9
1981,Dec,65.4,62.2,311370,295908,15462,5.0
1982,Jan,65.5,62.2,311552,295875,15677,5.0
1982,Feb,65.4,62.0,311829,295903,15926,5.1
1982,Mar,65.5,62.1,312244,296030,16214,5.2
1982,Apr,65.4,62.0,312839,296327,16512,5.3
1982,May,65.6,62.1,313529,296723,16806,5.4
1982,Jun,65.6,62.0,314131,297000,17131,5.5
1982,Jul,65.7,62.0,314575,297062,17513,5.6
1982,Aug,65.6,61.9,314890,296944,17946,5.7
1982,Sep,65.5,61.7,315151,296717,18434,5.8
1982,Oct,65.6,61.6,315425,296441,18984,6.0
1982,Nov,65.5,61.5,315767,296215,19552,6.2
1982,Dec,65.4,61.3,316076,296061,20015,6.3
1983,Jan,65.4,61.2,316301,295999,20302,6.4
1983,Feb,65.4,61.2,316528,296144,20384,6.4
1983,Mar,65.3,61.2,316828,296578,20250,6.4
1983,Apr,65.3,61.2,317281,297325,19956,6.3
1983,May,65.3,61.3,317901,298356,19545,6.1
1983,Jun,65.4,61.5,318642,299596,19046,6.0
1983,Jul,65.5,61.7,319424,300895,18529,5.8
1983,Aug,65.6,61.9,320123,302064,18059,5.6
1983,Sep,65.7,62.1,320632,302957,17675,5.5
1983,Oct,65.8,62.2,320947,303571,17376,5.4
1983,Nov,65.7,62.2,321144,303983,17161,5.3
1983,Dec,65.7,62.2,321397,304348,17049,5.3
1984,Jan,65.8,62.3,321799,304792,17007,5.3
1984,Feb,65.9,62.4,322312,305314,16998,5.3
1984,Mar,66.0,62.5,322891,305851,17040,5.3
1984,Apr,66.1,62.6,323436,306322,17114,5.3
1984,May,66.1,62.6,323913,306701,17212,5.3
1984,Jun,66.2,62.6,324277,306953,17324,5.3
1984,Jul,66.2,62.7,324447,307034,17413,5.4
1984,Aug,66.2,62.7,324488,307009,17479,5.4
1984,Sep,66.4,62.8,324535,307020,17515,5.4
1984,Oct,66.4,62.8,324731,307207,17524,5.4
1984,Nov,66.5,62.9,325206,307657,17549,5.4
1984,Dec,66.8,63.2,325951,308351,17600,5.4
1985,Jan,67.0,63.3,326800,309124,17676,5.4
1985,Feb,67.1,63.5,327601,309825,17776,5.4
1985,Mar,67.4,63.7,328200,310345,17855,5.4
1985,Apr,67.5,63.8,328523,310635,17888,5.4
1985,May,67.5,63.8,328639,310732,17907,5.4
1985,Jun,67.6,64.0,328744,310800,17944,5.5
1985,Jul,67.7,64.0,329029,311015,18014,5.5
1985,Aug,67.8,64.1,329551,311478,18073,5.5
1985,Sep,68.0,64.2,330245,312131,18114,5.5
1985,Oct,68.1,64.4,330969,312802,18167,5.5
1985,Nov,68.2,64.5,331533,313302,18231,5.5
1985,Dec,68.3,64.5,331841,313498,18343,5.5
1986,Jan,68.3,64.5,331952,313412,18540,5.6
1986,Feb,68.2,64.3,331947,313143,18804,5.7
1986,Mar,68.2,64.2,331897,312827,19070,5.7
1986,Apr,68.1,64.2,331864,312609,19255,5.8
1986,May,68.1,64.2,331822,312564,19258,5.8
1986,Jun,68.1,64.2,331739,312684,19055,5.7
1986,Jul,68.1,64.3,331611,312909,18702,5.6
1986,Aug,68.1,64.3,331445,313150,18295,5.5
1986,Sep,68.2,64.5,331274,313346,17928,5.4
1986,Oct,68.1,64.5,331122,313476,17646,5.3
1986,Nov,68.1,64.5,330996,313522,17474,5.3
1986,Dec,68.2,64.7,330926,313560,17366,5.2
1987,Jan,68.2,64.7,330862,313626,17236,5.2
1987,Feb,68.2,64.7,330771,313737,17034,5.1
1987,Mar,68.3,64.9,330704,313925,16779,5.1
1987,Apr,68.3,64.9,330676,314164,16512,5.0
1987,May,68.3,65.0,330699,314423,16276,4.9
1987,Jun,68.5,65.1,330784,314657,16127,4.9
1987,Jul,68.5,65.2,330904,314822,16082,4.9
1987,Aug,68.5,65.2,331009,314894,16115,4.9
1987,Sep,68.5,65.2,331088,314941,16147,4.9
1987,Oct,68.6,65.2,331135,315008,16127,4.9
1987,Nov,68.6,65.2,331154,315144,16010,4.8
1987,Dec,68.5,65.3,331096,315281,15815,4.8
1988,Jan,68.5,65.3,330947,315355,15592,4.7
1988,Feb,68.6,65.4,330744,315368,15376,4.6
1988,Mar,68.6,65.4,330540,315323,15217,4.6
1988,Apr,68.6,65.4,330418,315267,15151,4.6
1988,May,68.6,65.4,330421,315255,15166,4.6
1988,Jun,68.6,65.4,330525,315318,15207,4.6
1988,Jul,68.6,65.4,330676,315451,15225,4.6
1988,Aug,68.6,65.5,330852,315618,15234,4.6
1988,Sep,68.8,65.6,330988,315745,15243,4.6
1988,Oct,68.8,65.7,330992,315801,15191,4.6
1988,Nov,68.9,65.8,330827,315765,15062,4.6
1988,Dec,68.9,65.8,330542,315674,14868,4.5
1989,Jan,68.8,65.8,330234,315609,14625,4.4
1989,Feb,68.9,65.9,329966,315572,14394,4.4
1989,Mar,68.8,65.9,329771,315582,14189,4.3
1989,Apr,69.0,66.0,329648,315610,14038,4.3
1989,May,68.9,66.0,329568,315588,13980,4.2
1989,Jun,69.1,66.1,329500,315489,14011,4.3
1989,Jul,69.1,66.1,329410,315321,14089,4.3
1989,Aug,69.0,66.1,329252,315119,14133,4.3
1989,Sep,69.0,66.0,329042,314944,14098,4.3
1989,Oct,69.1,66.2,328886,314895,13991,4.3
1989,Nov,69.1,66.2,328838,315030,13808,4.2
1989,Dec,69.3,66.4,328950,315388,13562,4.1
1990,Jan,69.5,66.6,318932,305641,13291,4.2
1990,Feb,68.8,66.0,316261,303230,13031,4.1
1990,Mar,68.5,65.7,315808,302967,12841,4.1
1990,Apr,68.4,65.6,315984,303220,12764,4.0
1990,May,68.3,65.5,316285,303488,12797,4.0
1990,Jun,68.2,65.4,316532,303615,12917,4.1
1990,Jul,68.0,65.2,316709,303636,13073,4.1
1990,Aug,68.1,65.2,316830,303636,13194,4.2
1990,Sep,68.1,65.2,316890,303655,13235,4.2
1990,Oct,68.0,65.2,316914,303695,13219,4.2
1990,Nov,68.2,65.4,316979,303794,13185,4.2
1990,Dec,68.2,65.4,317059,303871,13188,4.2
1991,Jan,68.2,65.3,317112,303808,13304,4.2
1991,Feb,68.4,65.4,317158,303629,13529,4.3
1991,Mar,68.3,65.4,317102,303306,13796,4.4
1991,Apr,68.3,65.3,316913,302893,14020,4.4
1991,May,68.4,65.3,316675,302540,14135,4.5
1991,Jun,68.3,65.3,316451,302339,14112,4.5
1991,Jul,68.3,65.2,316253,302284,13969,4.4
1991,Aug,68.2,65.2,316111,302331,13780,4.4
1991,Sep,68.2,65.2,316061,302430,13631,4.3
1991,Oct,68.0,65.1,316074,302489,13585,4.3
1991,Nov,68.0,65.1,316139,302473,13666,4.3
1991,Dec,68.0,65.1,316238,302391,13847,4.4
1992,Jan,68.1,65.0,316361,302290,14071,4.4
1992,Feb,68.1,65.0,316509,302205,14304,4.5
1992,Mar,68.1,65.0,316758,302255,14503,4.6
1992,Apr,68.2,65.0,317056,302423,14633,4.6
1992,May,68.1,64.9,317250,302573,14677,4.6
1992,Jun,68.1,64.9,317309,302654,14655,4.6
1992,Jul,68.1,64.9,317298,302680,14618,4.6
1992,Aug,68.0,64.9,317303,302713,14590,4.6
