Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,59.3,55.9,1186198,1116824,69374,5.8
1976,Feb,59.2,55.7,1185846,1116531,69315,5.8
1976,Mar,59.1,55.6,1185640,1116631,69009,5.8
1976,Apr,59.0,55.6,1186430,1118154,68276,5.8
1976,May,59.0,55.6,1187895,1120284,67611,5.7
1976,Jun,58.9,55.6,1189831,1122849,66982,5.6
1976,Jul,58.9,55.6,1191650,1125315,66335,5.6
1976,Aug,58.9,55.6,1193335,1127599,65736,5.5
1976,Sep,58.9,55.7,1195031,1129978,65053,5.4
1976,Oct,58.9,55.7,1197318,1132849,64469,5.4
1976,Nov,58.9,55.8,1200617,1136665,63952,5.3
1976,Dec,59.0,55.9,1205019,1141451,63568,5.3
1977,Jan,59.2,56.1,1210578,1146952,63626,5.3
1977,Feb,59.4,56.3,1216872,1152915,63957,5.3
1977,Mar,59.6,56.5,1223069,1158992,64077,5.2
1977,Apr,59.8,56.7,1228874,1165110,63764,5.2
1977,May,59.9,56.8,1234100,1171064,63036,5.1
1977,Jun,60.0,57.0,1238796,1176898,61898,5.0
1977,Jul,60.1,57.2,1243222,1182950,60272,4.8
1977,Aug,60.2,57.4,1247472,1189503,57969,4.6
1977,Sep,60.3,57.6,1251478,1196086,55392,4.4
1977,Oct,60.4,57.8,1255007,1201790,53217,4.2
1977,Nov,60.4,57.9,1257863,1206136,51727,4.1
1977,Dec,60.4,57.9,1259989,1209139,50850,4.0
1978,Jan,60.4,58.0,1261708,1211724,49984,4.0
1978,Feb,60.3,58.0,1263307,1214527,48780,3.9
1978,Mar,60.3,58.0,1264771,1217678,47093,3.7
1978,Apr,60.2,58.1,1265648,1220869,44779,3.5
1978,May,60.1,58.1,1265907,1223885,42022,3.3
1978,Jun,60.0,58.1,1265963,1226564,39399,3.1
1978,Jul,59.9,58.1,1266385,1228673,37712,3.0
1978,Aug,59.9,58.1,1267727,1230388,37339,2.9
1978,Sep,59.9,58.1,1270422,1232472,37950,3.0
1978,Oct,59.9,58.1,1274514,1235571,38943,3.1
1978,Nov,60.0,58.2,1279646,1239633,40013,3.1
1978,Dec,60.2,58.3,1284900,1244070,40830,3.2
1979,Jan,60.3,58.3,1289239,1248010,41229,3.2
1979,Feb,60.3,58.4,1292478,1251327,41151,3.2
1979,Mar,60.3,58.4,1295406,1254625,40781,3.1
1979,Apr,60.4,58.5,1298825,1258351,40474,3.1
1979,May,60.4,58.6,1303113,1262744,40369,3.1
1979,Jun,60.6,58.7,1307910,1267487,40423,3.1
1979,Jul,60.7,58.8,1312910,1272438,40472,3.1
1979,Aug,60.8,58.9,1318069,1277498,40571,3.1
1979,Sep,60.9,59.0,1323058,1282414,40644,3.1
1979,Oct,60.9,59.1,1327531,1287102,40429,3.0
1979,Nov,61.0,59.1,1331472,1291496,39976,3.0
1979,Dec,61.0,59.2,1335039,1295342,39697,3.0
1980,Jan,61.0,59.2,1338325,1298225,40100,3.0
1980,Feb,61.0,59.1,1341325,1299832,41493,3.1
1980,Mar,61.0,59.0,1344129,1300267,43862,3.3
1980,Apr,61.0,58.9,1347146,1300360,46786,3.5
1980,May,61.0,58.8,1350826,1301090,49736,3.7
1980,Jun,61.7,58.8,1368684,1303385,65299,4.8
1980,Jul,62.0,58.9,1377643,1307447,70196,5.1
1980,Aug,62.2,59.0,1383370,1312870,70500,5.1
1980,Sep,62.2,59.2,1387482,1319163,68319,4.9
1980,Oct,62.3,59.4,1390605,1325903,64702,4.7
1980,Nov,62.3,59.6,1393430,1333061,60369,4.3
1980,Dec,62.3,59.8,1397123,1341084,56039,4.0
1981,Jan,62.4,60.1,1402254,1349893,52361,3.7
1981,Feb,62.6,60.4,1408484,1358844,49640,3.5
1981,Mar,62.8,60.7,1415073,1367229,47844,3.4
1981,Apr,62.9,60.9,1421146,1374305,46841,3.3
1981,May,63.0,61.0,1426165,1379714,46451,3.3
1981,Jun,63.1,61.1,1430233,1383680,46553,3.3
1981,Jul,63.2,61.1,1433776,1386470,47306,3.3
1981,Aug,63.1,61.0,1437420,1388545,48875,3.4
1981,Sep,63.1,60.9,1441656,1390344,51312,3.6
1981,Oct,63.1,60.8,1446604,1392077,54527,3.8
1981,Nov,63.2,60.6,1451783,1393622,58161,4.0
1981,Dec,63.2,60.5,1456801,1395115,61686,4.2
1982,Jan,63.2,60.4,1461530,1396904,64626,4.4
1982,Feb,63.2,60.3,1466134,1398907,67227,4.6
1982,Mar,63.2,60.2,1470731,1400724,70007,4.8
1982,Apr,63.2,60.1,1475538,1402185,73353,5.0
1982,May,63.2,59.9,1480624,1403000,77624,5.2
1982,Jun,63.3,59.7,1485802,1402721,83081,5.6
1982,Jul,63.3,59.5,1491226,1401403,89823,6.0
1982,Aug,63.4,59.3,1496693,1399249,97444,6.5
1982,Sep,63.4,59.0,1501828,1396468,105360,7.0
1982,Oct,63.5,58.7,1506407,1393267,113140,7.5
1982,Nov,63.5,58.4,1510250,1390137,120113,8.0
1982,Dec,63.4,58.2,1512998,1387336,125662,8.3
1983,Jan,63.4,57.9,1515176,1385392,129784,8.6
1983,Feb,63.3,57.8,1517649,1385294,132355,8.7
1983,Mar,63.3,57.7,1520758,1387481,133277,8.8
1983,Apr,63.3,57.8,1524684,1391816,132868,8.7
1983,May,63.3,57.9,1529032,1397694,131338,8.6
1983,Jun,63.3,58.0,1533277,1404434,128843,8.4
1983,Jul,63.3,58.1,1536790,1411252,125538,8.2
1983,Aug,63.4,58.4,1539173,1417217,121956,7.9
1983,Sep,63.5,58.6,1540444,1422033,118411,7.7
1983,Oct,63.5,58.8,1540785,1426006,114779,7.4
1983,Nov,63.5,58.9,1540745,1429290,111455,7.2
1983,Dec,63.5,59.0,1540824,1431971,108853,7.1
1984,Jan,63.5,59.1,1541175,1434492,106683,6.9
1984,Feb,63.6,59.2,1541849,1437067,104782,6.8
1984,Mar,63.6,59.3,1543152,1439672,103480,6.7
1984,Apr,63.7,59.4,1544893,1441946,102947,6.7
1984,May,63.8,59.5,1546798,1443645,103153,6.7
1984,Jun,63.8,59.6,1548304,1444447,103857,6.7
1984,Jul,63.9,59.6,1548762,1444249,104513,6.7
1984,Aug,63.9,59.6,1548313,1443483,104830,6.8
1984,Sep,63.9,59.6,1547606,1442440,105166,6.8
1984,Oct,64.0,59.6,1547724,1441744,105980,6.8
1984,Nov,64.1,59.7,1549264,1442083,107181,6.9
1984,Dec,64.3,59.8,1552039,1443554,108485,7.0
1985,Jan,64.4,59.9,1554925,1445117,109808,7.1
1985,Feb,64.6,60.0,1556780,1445717,111063,7.1
1985,Mar,64.6,60.0,1556710,1445010,111700,7.2
1985,Apr,64.6,60.0,1554891,1443519,111372,7.2
1985,May,64.6,60.0,1552501,1442140,110361,7.1
1985,Jun,64.6,60.0,1550933,1441729,109204,7.0
1985,Jul,64.6,60.1,1551297,1442655,108642,7.0
1985,Aug,64.7,60.2,1553826,1445137,108689,7.0
1985,Sep,64.8,60.3,1557715,1448762,108953,7.0
1985,Oct,64.9,60.4,1561850,1452298,109552,7.0
1985,Nov,65.0,60.4,1565472,1454660,110812,7.1
1985,Dec,65.1,60.4,1568462,1455335,113127,7.2
1986,Jan,65.1,60.3,1571401,1454673,116728,7.4
1986,Feb,65.2,60.2,1574696,1453562,121134,7.7
1986,Mar,65.3,60.1,1578485,1452460,126025,8.0
1986,Apr,65.4,60.0,1582486,1451414,131072,8.3
1986,May,65.5,59.9,1585696,1450284,135412,8.5
1986,Jun,65.5,59.8,1587690,1449329,138361,8.7
1986,Jul,65.5,59.7,1588370,1448803,139567,8.8
1986,Aug,65.5,59.8,1587465,1448411,139054,8.8
1986,Sep,65.4,59.8,1584994,1447837,137157,8.7
1986,Oct,65.4,59.8,1581289,1447021,134268,8.5
1986,Nov,65.2,59.8,1576768,1445816,130952,8.3
1986,Dec,65.1,59.8,1572339,1444751,127588,8.1
1987,Jan,65.0,59.8,1568422,1443991,124431,7.9
1987,Feb,64.9,59.9,1565013,1443237,121776,7.8
1987,Mar,64.9,59.9,1562109,1442807,119302,7.6
1987,Apr,64.8,60.0,1559174,1442799,116375,7.5
1987,May,64.7,60.0,1556111,1442924,113187,7.3
1987,Jun,64.7,60.1,1552753,1442599,110154,7.1
1987,Jul,64.6,60.1,1549089,1441555,107534,6.9
1987,Aug,64.5,60.0,1545656,1439941,105715,6.8
1987,Sep,64.4,60.0,1543094,1438341,104753,6.8
1987,Oct,64.4,60.0,1541260,1437055,104205,6.8
1987,Nov,64.3,60.0,1539831,1436261,103570,6.7
1987,Dec,64.3,60.0,1538088,1435520,102568,6.7
1988,Jan,64.2,60.0,1535540,1434593,100947,6.6
1988,Feb,64.1,60.0,1532294,1433458,98836,6.5
1988,Mar,64.0,59.9,1528432,1431553,96879,6.3
1988,Apr,63.9,59.9,1524579,1428890,95689,6.3
1988,May,63.8,59.8,1521487,1426221,95266,6.3
1988,Jun,63.7,59.7,1519697,1424291,95406,6.3
1988,Jul,63.8,59.7,1519561,1423572,95989,6.3
1988,Aug,63.8,59.8,1520753,1424211,96542,6.3
1988,Sep,63.9,59.8,1522631,1425995,96636,6.3
1988,Oct,63.9,59.9,1524409,1428305,96104,6.3
1988,Nov,64.0,60.0,1525457,1430481,94976,6.2
1988,Dec,64.0,60.1,1525435,1432009,93426,6.1
1989,Jan,63.9,60.1,1524651,1432884,91767,6.0
1989,Feb,63.9,60.1,1523694,1433324,90370,5.9
1989,Mar,63.9,60.1,1523368,1434114,89254,5.9
1989,Apr,63.9,60.2,1524016,1435514,88502,5.8
1989,May,63.9,60.2,1525169,1437084,88085,5.8
1989,Jun,64.0,60.3,1526345,1438531,87814,5.8
1989,Jul,64.0,60.3,1527039,1439553,87486,5.7
1989,Aug,64.0,60.3,1527171,1439813,87358,5.7
1989,Sep,64.0,60.3,1526903,1439255,87648,5.7
1989,Oct,63.8,60.2,1524568,1438685,85883,5.6
1989,Nov,63.8,60.2,1523020,1438658,84362,5.5
1989,Dec,63.7,60.3,1522342,1439268,83074,5.5
1990,Jan,64.9,61.4,1522315,1440437,81878,5.4
1990,Feb,64.9,61.5,1522308,1441925,80383,5.3
1990,Mar,64.9,61.6,1521883,1443179,78704,5.2
1990,Apr,64.9,61.6,1521911,1443804,78107,5.1
1990,May,64.8,61.6,1519141,1443799,75342,5.0
1990,Jun,64.8,61.5,1519418,1442864,76554,5.0
1990,Jul,64.8,61.5,1519352,1440974,78378,5.2
1990,Aug,64.7,61.3,1519286,1438400,80886,5.3
1990,Sep,64.7,61.1,1519182,1435252,83930,5.5
1990,Oct,64.6,60.9,1518705,1431564,87141,5.7
1990,Nov,64.5,60.7,1517889,1428067,89822,5.9
1990,Dec,64.5,60.6,1516939,1425415,91524,6.0
1991,Jan,64.4,60.4,1515882,1423576,92306,6.1
1991,Feb,64.3,60.4,1514798,1422372,92426,6.1
1991,Mar,64.2,60.3,1513502,1421513,91989,6.1
1991,Apr,64.1,60.2,1512104,1420833,91271,6.0
1991,May,64.0,60.2,1511076,1420378,90698,6.0
1991,Jun,64.0,60.1,1510553,1420243,90310,6.0
1991,Jul,63.9,60.1,1510398,1420382,90016,6.0
1991,Aug,63.8,60.1,1510398,1420912,89486,5.9
1991,Sep,63.8,60.0,1510859,1421951,88908,5.9
1991,Oct,63.8,60.0,1512303,1423212,89091,5.9
1991,Nov,63.8,60.0,1514622,1424475,90147,6.0
1991,Dec,63.9,60.0,1517452,1425953,91499,6.0
1992,Jan,63.9,60.0,1520469,1427798,92671,6.1
1992,Feb,64.0,60.1,1523340,1429879,93461,6.1
1992,Mar,64.1,60.1,1525799,1432175,93624,6.1
1992,Apr,64.1,60.2,1527715,1434461,93254,6.1
1992,May,64.1,60.2,1528811,1436384,92427,6.0
1992,Jun,64.0,60.2,1528974,1437877,91097,6.0
1992,Jul,63.9,60.2,1528726,1439054,89672,5.9
1992,Aug,63.9,60.2,1528223,1439737,88486,5.8
1992,Sep,63.8,60.1,1527288,1439928,87360,5.7
1992,Oct,63.6,60.1,1525921,1439988,85933,5.6
1992,Nov,63.5,60.0,1524303,1439766,84537,5.5
1992,Dec,63.4,59.9,1522805,1439081,83724,5.5
1993,Jan,63.3,59.9,1522100,1438465,83635,5.5
1993,Feb,63.3,59.8,1522707,1438462,84245,5.5
1993,Mar,63.4,59.8,1524937,1439477,85460,5.6
1993,Apr,63.5,59.9,1528375,1441628,86747,5.7
1993,May,63.6,59.9,1532158,1444414,87744,5.7
1993,Jun,63.7,60.0,1535719,1447185,88534,5.8
1993,Jul,63.7,60.0,1538255,1449501,88754,5.8
1993,Aug,63.7,60.1,1539824,1451526,88298,5.7
1993,Sep,63.7,60.1,1541252,1453637,87615,5.7
1993,Oct,63.7,60.1,1542875,1455795,87080,5.6
1993,Nov,63.8,60.2,1544856,1457876,86980,5.6
1993,Dec,63.8,60.2,1547225,1459961,87264,5.6
1994,Jan,63.9,60.3,1549364,1461772,87592,5.7
1994,Feb,63.9,60.3,1550498,1462939,87559,5.6
1994,Mar,63.9,60.3,1550408,1463315,87093,5.6
1994,Apr,63.8,60.2,1549578,1463324,86254,5.6
1994,May,63.7,60.2,1548854,1463813,85041,5.5
1994,Jun,63.7,60.2,1548865,1465362,83503,5.4
1994,Jul,63.7,60.3,1550045,1468036,82009,5.3
1994,Aug,63.7,60.4,1552059,1471318,80741,5.2
1994,Sep,63.7,60.5,1554122,1474719,79403,5.1
1994,Oct,63.8,60.6,1555751,1478072,77679,5.0
1994,Nov,63.7,60.7,1556813,1481291,75522,4.9
1994,Dec,63.7,60.7,1557156,1483907,73249,4.7
1995,Jan,63.7,60.8,1556914,1485595,71319,4.6
1995,Feb,63.6,60.8,1556674,1486667,70007,4.5
1995,Mar,63.6,60.8,1556751,1487421,69330,4.5
1995,Apr,63.6,60.8,1557129,1487917,69212,4.4
1995,May,63.6,60.7,1557890,1488338,69552,4.5
1995,Jun,63.6,60.7,1559093,1489032,70061,4.5
1995,Jul,63.6,60.7,1560508,1490220,70288,4.5
1995,Aug,63.6,60.7,1561918,1491902,70016,4.5
1995,Sep,63.6,60.7,1563311,1493782,69529,4.4
1995,Oct,63.5,60.7,1564697,1495700,68997,4.4
1995,Nov,63.5,60.8,1566001,1497636,68365,4.4
1995,Dec,63.5,60.8,1567399,1499676,67723,4.3
1996,Jan,63.6,60.8,1569313,1502219,67094,4.3
1996,Feb,63.6,60.9,1571862,1505456,66406,4.2
1996,Mar,63.7,61.0,1574912,1509365,65547,4.2
1996,Apr,63.8,61.2,1578317,1513898,64419,4.1
1996,May,63.8,61.3,1581879,1518871,63008,4.0
1996,Jun,63.9,61.4,1585357,1523725,61632,3.9
1996,Jul,64.0,61.5,1588659,1527933,60726,3.8
1996,Aug,64.0,61.6,1591889,1531251,60638,3.8
1996,Sep,64.1,61.6,1594801,1533530,61271,3.8
1996,Oct,64.1,61.6,1597268,1534821,62447,3.9
1996,Nov,64.1,61.6,1599295,1535517,63778,4.0
1996,Dec,64.1,61.5,1600852,1536182,64670,4.0
1997,Jan,64.1,61.5,1601959,1536981,64978,4.1
1997,Feb,64.1,61.5,1602824,1537996,64828,4.0
1997,Mar,64.1,61.5,1603765,1539398,64367,4.0
1997,Apr,64.1,61.6,1604942,1540977,63965,4.0
1997,May,64.1,61.5,1606117,1542258,63859,4.0
1997,Jun,64.1,61.5,1607301,1543367,63934,4.0
1997,Jul,64.1,61.5,1608721,1544752,63969,4.0
1997,Aug,64.1,61.6,1610250,1546525,63725,4.0
1997,Sep,64.1,61.6,1611704,1548671,63033,3.9
1997,Oct,64.1,61.6,1613210,1551032,62178,3.9
1997,Nov,64.1,61.6,1614891,1553384,61507,3.8
1997,Dec,64.1,61.7,1617010,1555748,61262,3.8
1998,Jan,64.2,61.7,1619495,1558055,61440,3.8
1998,Feb,64.2,61.8,1622364,1560147,62217,3.8
1998,Mar,64.3,61.8,1625433,1561770,63663,3.9
1998,Apr,64.4,61.8,1628557,1563091,65466,4.0
1998,May,64.5,61.8,1631779,1564462,67317,4.1
1998,Jun,64.5,61.8,1634873,1565963,68910,4.2
1998,Jul,64.6,61.8,1637493,1567582,69911,4.3
1998,Aug,64.6,61.8,1639860,1569705,70155,4.3
1998,Sep,64.6,61.9,1642299,1572521,69778,4.2
1998,Oct,64.7,61.9,1644758,1575962,68796,4.2
1998,Nov,64.7,62.0,1646896,1579474,67422,4.1
1998,Dec,64.7,62.1,1648520,1582502,66018,4.0
1999,Jan,64.7,62.1,1649706,1585001,64705,3.9
1999,Feb,64.7,62.2,1650714,1587351,63363,3.8
1999,Mar,64.7,62.3,1651770,1589924,61846,3.7
1999,Apr,64.7,62.3,1653029,1592811,60218,3.6
1999,May,64.7,62.4,1654310,1595759,58551,3.5
1999,Jun,64.7,62.4,1655612,1598610,57002,3.4
1999,Jul,64.6,62.5,1656970,1601156,55814,3.4
1999,Aug,64.6,62.5,1658153,1603162,54991,3.3
1999,Sep,64.6,62.5,1658881,1604482,54399,3.3
1999,Oct,64.6,62.5,1659012,1605074,53938,3.3
1999,Nov,64.5,62.5,1658877,1605476,53401,3.2
1999,Dec,64.5,62.4,1658655,1606004,52651,3.2
2000,Jan,64.4,62.4,1658242,1606427,51815,3.1
2000,Feb,64.4,62.4,1657431,1606463,50968,3.1
2000,Mar,64.3,62.3,1656371,1606060,50311,3.0
2000,Apr,64.3,62.3,1655441,1605448,49993,3.0
2000,May,64.2,62.3,1654880,1604931,49949,3.0
2000,Jun,64.2,62.2,1654551,1604477,50074,3.0
2000,Jul,64.1,62.2,1654254,1604129,50125,3.0
2000,Aug,64.1,62.1,1654069,1604248,49821,3.0
2000,Sep,64.0,62.1,1654299,1605173,49126,3.0
2000,Oct,64.0,62.2,1655384,1607005,48379,2.9
2000,Nov,64.1,62.2,1657371,1609291,48080,2.9
2000,Dec,64.2,62.3,1659710,1611353,48357,2.9
2001,Jan,64.2,62.3,1662044,1612914,49130,3.0
2001,Feb,64.3,62.4,1664211,1613887,50324,3.0
2001,Mar,64.3,62.3,1665929,1614117,51812,3.1
2001,Apr,64.4,62.3,1666892,1613465,53427,3.2
2001,May,64.4,62.2,1667424,1612236,55188,3.3
2001,Jun,64.4,62.2,1668255,1611000,57255,3.4
2001,Jul,64.4,62.1,1670245,1610316,59929,3.6
2001,Aug,64.5,62.0,1673342,1609938,63404,3.8
2001,Sep,64.6,62.0,1676984,1609659,67325,4.0
2001,Oct,64.7,61.9,1680495,1609570,70925,4.2
2001,Nov,64.7,61.9,1683462,1609645,73817,4.4
2001,Dec,64.8,61.9,1686131,1610012,76119,4.5
2002,Jan,64.9,61.9,1688351,1610625,77726,4.6
2002,Feb,64.9,61.9,1689439,1610980,78459,4.6
2002,Mar,64.8,61.8,1689328,1610915,78413,4.6
2002,Apr,64.8,61.8,1688588,1610736,77852,4.6
2002,May,64.7,61.7,1687674,1610573,77101,4.6
2002,Jun,64.6,61.7,1686526,1610231,76295,4.5
