DATE,service_employees
1990-01-01,5599.6666666666666667
1990-04-01,5665.8333333333333333
1990-07-01,5697.8000000000000000
1990-10-01,5720.7000000000000000
1991-01-01,5714.1000000000000000
1991-04-01,5739.6333333333333333
1991-07-01,5760.1333333333333333
1991-10-01,5793.8000000000000000
1992-01-01,5819.2000000000000000
1992-04-01,5844.6666666666666667
1992-07-01,5877.4333333333333333
1992-10-01,5927.4000000000000000
1993-01-01,5990.0000000000000000
1993-04-01,6029.5333333333333333
1993-07-01,6097.6333333333333333
1993-10-01,6125.0333333333333333
1994-01-01,6177.0333333333333333
1994-04-01,6248.5333333333333333
1994-07-01,6329.9333333333333333
1994-10-01,6388.6666666666666667
1995-01-01,6435.1666666666666667
1995-04-01,6475.5666666666666667
1995-07-01,6531.0666666666666667
1995-10-01,6571.8333333333333333
1996-01-01,6597.9666666666666667
1996-04-01,6653.3333333333333333
1996-07-01,6709.2000000000000000
1996-10-01,6787.1333333333333333
1997-01-01,6854.1666666666666667
1997-04-01,6937.7666666666666667
1997-07-01,7012.0000000000000000
1997-10-01,7071.7333333333333333
1998-01-01,7138.2333333333333333
1998-04-01,7192.9000000000000000
1998-07-01,7250.2666666666666667
1998-10-01,7325.9666666666666667
1999-01-01,7373.3666666666666667
1999-04-01,7410.8666666666666667
1999-07-01,7458.6000000000000000
1999-10-01,7526.6000000000000000
2000-01-01,7590.7666666666666667
2000-04-01,7657.1000000000000000
2000-07-01,7706.3333333333333333
2000-10-01,7751.9333333333333333
2001-01-01,7781.3666666666666667
2001-04-01,7794.7333333333333333
2001-07-01,7787.3333333333333333
2001-10-01,7750.0333333333333333
2002-01-01,7757.0666666666666667
2002-04-01,7777.1333333333333333
2002-07-01,7785.0333333333333333
2002-10-01,7796.3666666666666667
2003-01-01,7794.2666666666666667
2003-04-01,7782.8666666666666667
2003-07-01,7790.1000000000000000
2003-10-01,7822.2000000000000000
2004-01-01,7872.4333333333333333
2004-04-01,7912.4000000000000000
2004-07-01,7950.6000000000000000
2004-10-01,7998.6000000000000000
2005-01-01,8044.1333333333333333
2005-04-01,8097.7666666666666667
2005-07-01,8172.9666666666666667
2005-10-01,8231.4000000000000000
2006-01-01,8297.8666666666666667
2006-04-01,8346.4000000000000000
2006-07-01,8402.7666666666666667
2006-10-01,8466.1666666666666667
2007-01-01,8537.0000000000000000
2007-04-01,8608.5333333333333333
2007-07-01,8668.4000000000000000
2007-10-01,8725.0666666666666667
2008-01-01,8784.7333333333333333
2008-04-01,8813.5666666666666667
2008-07-01,8831.0333333333333333
2008-10-01,8817.7666666666666667
2009-01-01,8756.0000000000000000
2009-04-01,8698.2000000000000000
2009-07-01,8668.6000000000000000
2009-10-01,8675.2666666666666667
2010-01-01,8713.9000000000000000
2010-04-01,8789.7666666666666667
2010-07-01,8796.2666666666666667
2010-10-01,8856.0666666666666667
2011-01-01,8896.0666666666666667
2011-04-01,8955.8666666666666667
2011-07-01,8995.5666666666666667
2011-10-01,9012.4666666666666667
2012-01-01,9088.4000000000000000
2012-04-01,9158.8333333333333333
2012-07-01,9223.4000000000000000
2012-10-01,9297.6000000000000000
2013-01-01,9364.6666666666666667
2013-04-01,9430.0666666666666667
2013-07-01,9503.1000000000000000
2013-10-01,9566.7666666666666667
2014-01-01,9625.8666666666666667
2014-04-01,9711.9333333333333333
2014-07-01,9778.0333333333333333
2014-10-01,9865.7666666666666667
2015-01-01,9929.7000000000000000
2015-04-01,9999.0000000000000000
2015-07-01,10074.9666666666666667
2015-10-01,10125.2000000000000000
2016-01-01,10178.5666666666666667
2016-04-01,10224.2000000000000000
2016-07-01,10292.7333333333333333
2016-10-01,10328.3666666666666667
2017-01-01,10390.5666666666666667
2017-04-01,10436.3000000000000000
2017-07-01,10450.6000000000000000
2017-10-01,10503.6000000000000000
2018-01-01,10565.2000000000000000
2018-04-01,10630.0333333333333333
2018-07-01,10691.4333333333333333
2018-10-01,10732.8000000000000000
2019-01-01,10787.9000000000000000
2019-04-01,10851.2333333333333333
2019-07-01,10919.5666666666666667
2019-10-01,10974.6000000000000000
2020-01-01,11015.2333333333333333
2020-04-01,9980.7666666666666667
2020-07-01,10347.1000000000000000
2020-10-01,10550.5666666666666667
2021-01-01,10650.9666666666666667
2021-04-01,10822.1000000000000000
2021-07-01,11007.6333333333333333
2021-10-01,11223.5000000000000000
2022-01-01,11343.5000000000000000
2022-04-01,11489.0000000000000000
2022-07-01,11646.8666666666666667
2022-10-01,11729.5333333333333333
2023-01-01,11838.9666666666666667
2023-04-01,11896.8666666666666667
2023-07-01,11935.9666666666666667
2023-10-01,12009.0666666666666667
2024-01-01,.
