Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,63.8,60.0,5623303,5294695,328608,5.8
1976,Feb,63.5,59.8,5619825,5291252,328573,5.8
1976,Mar,63.4,59.7,5623418,5293477,329941,5.9
1976,Apr,63.5,59.7,5646313,5312877,333436,5.9
1976,May,63.6,59.9,5676963,5339976,336987,5.9
1976,Jun,63.8,60.0,5708574,5369891,338683,5.9
1976,Jul,63.9,60.1,5732915,5395557,337358,5.9
1976,Aug,63.9,60.2,5748413,5414486,333927,5.8
1976,Sep,63.9,60.2,5760462,5429512,330950,5.7
1976,Oct,63.8,60.2,5772866,5442664,330202,5.7
1976,Nov,63.8,60.2,5788621,5456390,332231,5.7
1976,Dec,63.9,60.2,5808871,5473400,335471,5.8
1977,Jan,64.0,60.3,5833413,5495729,337684,5.8
1977,Feb,64.1,60.4,5859779,5522799,336980,5.8
1977,Mar,64.2,60.6,5883658,5551092,332566,5.7
1977,Apr,64.3,60.7,5903231,5578003,325228,5.5
1977,May,64.3,60.9,5920374,5602796,317578,5.4
1977,Jun,64.3,60.9,5938639,5625881,312758,5.3
1977,Jul,64.4,61.0,5961078,5649079,311999,5.2
1977,Aug,64.6,61.2,5988974,5674441,314533,5.3
1977,Sep,64.7,61.3,6020049,5701720,318329,5.3
1977,Oct,64.9,61.4,6050362,5728897,321465,5.3
1977,Nov,65.0,61.5,6077074,5754302,322772,5.3
1977,Dec,65.1,61.6,6098267,5776455,321812,5.3
1978,Jan,65.1,61.7,6115243,5796759,318484,5.2
1978,Feb,65.1,61.7,6131558,5817873,313685,5.1
1978,Mar,65.1,61.8,6150322,5841570,308752,5.0
1978,Apr,65.2,62.0,6171665,5867132,304533,4.9
1978,May,65.2,62.1,6194406,5892873,301533,4.9
1978,Jun,65.3,62.2,6217251,5917371,299880,4.8
1978,Jul,65.4,62.2,6239448,5938904,300544,4.8
1978,Aug,65.4,62.3,6260442,5957611,302831,4.8
1978,Sep,65.4,62.3,6281470,5976921,304549,4.8
1978,Oct,65.5,62.3,6304655,6000860,303795,4.8
1978,Nov,65.6,62.5,6330086,6030030,300056,4.7
1978,Dec,65.6,62.6,6355857,6061189,294668,4.6
1979,Jan,65.7,62.7,6378780,6089864,288916,4.5
1979,Feb,65.7,62.8,6397642,6113863,283779,4.4
1979,Mar,65.7,62.8,6413638,6133154,280484,4.4
1979,Apr,65.6,62.8,6429400,6149376,280024,4.4
1979,May,65.6,62.8,6447648,6165789,281859,4.4
1979,Jun,65.6,62.8,6468922,6184122,284800,4.4
1979,Jul,65.7,62.8,6493062,6206713,286349,4.4
1979,Aug,65.8,62.9,6519815,6233683,286132,4.4
1979,Sep,65.9,63.0,6547943,6261950,285993,4.4
1979,Oct,65.9,63.0,6575376,6288133,287243,4.4
1979,Nov,66.0,63.1,6601483,6310316,291167,4.4
1979,Dec,66.0,63.1,6626499,6327833,298666,4.5
1980,Jan,66.1,63.0,6649920,6339884,310036,4.7
1980,Feb,66.1,62.9,6670529,6346353,324176,4.9
1980,Mar,66.0,62.7,6688726,6349543,339183,5.1
1980,Apr,66.0,62.5,6705365,6353160,352205,5.3
1980,May,66.0,62.4,6721357,6360261,361096,5.4
1980,Jun,66.0,62.4,6739558,6373850,365708,5.4
1980,Jul,66.0,62.5,6761137,6393876,367261,5.4
1980,Aug,66.1,62.5,6785866,6418555,367311,5.4
1980,Sep,66.2,62.6,6813115,6446343,366772,5.4
1980,Oct,66.3,62.8,6841575,6475138,366437,5.4
1980,Nov,66.4,62.9,6870471,6504739,365732,5.3
